feature,importance,model
categorical__month_may,0.6495815574916047,Logistic Regression
categorical__month_mar,0.5174330395157389,Logistic Regression
numeric__euribor3m,0.43667273016017477,Logistic Regression
categorical__job_retired,0.3406320340576271,Logistic Regression
categorical__poutcome_failure,0.31588312212385583,Logistic Regression
categorical__month_oct,0.3147085304517625,Logistic Regression
categorical__month_nov,0.2797773044017295,Logistic Regression
categorical__month_aug,0.27623970629996847,Logistic Regression
categorical__poutcome_nonexistent,0.2549266854545451,Logistic Regression
categorical__month_jul,0.22175991096789088,Logistic Regression
categorical__contact_telephone,0.2188339625565153,Logistic Regression
categorical__contact_cellular,0.2014088808226197,Logistic Regression
categorical__job_student,0.19046241224700033,Logistic Regression
categorical__marital_divorced,0.19023632831212228,Logistic Regression
categorical__default_unknown,0.16405273201469608,Logistic Regression
categorical__job_unemployed,0.16377394392570152,Logistic Regression
categorical__education_basic.9y,0.14946979242039232,Logistic Regression
categorical__default_no,0.14877655780385085,Logistic Regression
categorical__job_services,0.14213643847663954,Logistic Regression
categorical__month_jun,0.13381806970644372,Logistic Regression
categorical__day_of_week_mon,0.13150359315517446,Logistic Regression
categorical__day_of_week_wed,0.12815425669655134,Logistic Regression
numeric__previous,0.11398212979339586,Logistic Regression
categorical__education_basic.6y,0.10396570188165291,Logistic Regression
categorical__marital_single,0.1002320586110003,Logistic Regression
categorical__loan_no,0.09610705062046435,Logistic Regression
categorical__job_housemaid,0.09576641714911269,Logistic Regression
categorical__education_university.degree,0.09490667311275515,Logistic Regression
categorical__loan_unknown,0.08812528406188709,Logistic Regression
categorical__housing_unknown,0.08812528406188709,Logistic Regression
categorical__education_professional.course,0.07776850034714741,Logistic Regression
categorical__job_technician,0.0752497881511717,Logistic Regression
numeric__campaign,0.07346657939226402,Logistic Regression
categorical__job_blue-collar,0.07276135301369967,Logistic Regression
categorical__job_self-employed,0.0714034165302172,Logistic Regression
categorical__housing_no,0.0684554310374734,Logistic Regression
categorical__month_dec,0.06067986213377858,Logistic Regression
categorical__job_admin.,0.058887570089673734,Logistic Regression
categorical__marital_married,0.05055055658925859,Logistic Regression
numeric__cons.price.idx,0.049953651500682386,Logistic Regression
categorical__month_apr,0.04772833592366743,Logistic Regression
categorical__day_of_week_fri,0.04743806253985382,Logistic Regression
categorical__day_of_week_thu,0.046212351559499036,Logistic Regression
categorical__education_unknown,0.04422766874842576,Logistic Regression
categorical__poutcome_success,0.04353135493527458,Logistic Regression
numeric__cons.conf.idx,0.043121794453269406,Logistic Regression
categorical__education_basic.4y,0.031537498890690296,Logistic Regression
categorical__education_high.school,0.02549924283740798,Logistic Regression
categorical__loan_yes,0.025406848292593067,Logistic Regression
categorical__education_illiterate,0.023749909018814137,Logistic Regression
categorical__job_entrepreneur,0.02339254755232326,Logistic Regression
categorical__marital_unknown,0.022028631377934448,Logistic Regression
categorical__job_management,0.021898988826643664,Logistic Regression
categorical__day_of_week_tue,0.0153014562556973,Logistic Regression
categorical__month_sep,0.012497590392623803,Logistic Regression
categorical__job_unknown,0.012190700392556222,Logistic Regression
categorical__housing_yes,0.0022447712905372037,Logistic Regression
categorical__default_yes,0.0021489075232223676,Logistic Regression
numeric__pdays,0.0019355346143452076,Logistic Regression
numeric__age,0.001921066005312749,Logistic Regression
